,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
311,Chongwe,ZM,-15.3292,28.682,55.4,88,0,2.3,clear sky
312,Kangaatsiaq,GL,68.3065,-53.4641,23.27,84,100,8.95,overcast clouds
313,Savannah Bight,HN,16.45,-85.85,87.8,58,75,5.75,broken clouds
314,Pinheiro,BR,-2.5214,-45.0825,73.63,97,100,1.74,overcast clouds
315,Catamarca,AR,-28.4696,-65.7852,61.0,86,100,8.01,overcast clouds
316,Tarauaca,BR,-8.1614,-70.7656,72.45,98,100,1.32,overcast clouds
317,Biak,ID,-0.9131,122.8766,83.64,66,80,1.03,broken clouds
318,Pierre,US,44.3683,-100.351,55.0,40,1,4.61,clear sky
319,Craigieburn,AU,-37.6,144.95,55.99,71,75,24.16,light rain
320,San Policarpo,PH,12.1791,125.5072,83.26,69,100,10.29,overcast clouds
321,Westport,US,41.1415,-73.3579,57.2,82,1,9.22,clear sky
322,Palmer,US,42.1584,-72.3287,62.6,67,75,8.05,broken clouds
323,Xiaoshi,CN,41.2971,124.1209,62.6,34,0,15.66,clear sky
324,Makakilo City,US,21.3469,-158.0858,78.8,53,1,12.66,clear sky
325,Qaanaaq,GL,77.484,-69.3632,13.01,91,100,6.4,light snow
326,San Patricio,US,28.017,-97.5169,78.01,57,20,9.22,few clouds
327,Ust-Tsilma,RU,65.441,52.1498,35.31,84,100,11.61,overcast clouds
328,Marsh Harbour,BS,26.5412,-77.0636,75.6,71,0,15.41,clear sky
329,Haines Junction,CA,60.7522,-137.5108,12.2,24,100,5.75,overcast clouds
330,Atar,MR,20.5169,-13.0499,77.07,24,42,11.25,scattered clouds
331,Whitehorse,CA,60.7161,-135.0538,9.0,40,40,2.3,scattered clouds
332,Ambilobe,MG,-13.2,49.05,71.42,92,100,3.24,overcast clouds
333,Greystones,IE,53.1408,-6.0631,34.0,89,9,3.0,clear sky
334,Tahta,EG,26.7693,31.5021,55.4,38,0,11.5,clear sky
335,Souillac,MU,-20.5167,57.5167,77.0,83,40,5.75,scattered clouds
336,Sauce,UY,-34.6469,-56.0628,69.8,88,90,4.61,overcast clouds
337,Sangar,RU,63.9242,127.4739,16.27,67,100,4.54,overcast clouds
338,Smirnykh,RU,49.75,142.8333,51.13,45,29,7.54,scattered clouds
339,Nenjiang,CN,49.1833,125.2167,49.57,34,15,6.87,few clouds
340,Faya,SA,18.3851,42.4509,62.6,26,0,4.61,clear sky
341,Saint George,US,37.1041,-113.5841,80.6,7,1,17.27,clear sky
342,Batagay-Alyta,RU,67.8006,130.4114,4.87,60,0,5.57,clear sky
343,Ust-Kulom,RU,61.6864,53.6902,25.65,98,46,2.98,scattered clouds
